resources,parallelism,up_mean,up_median,up_stddev,up_min,up_max,up_p95,destroy_mean,destroy_median,destroy_stddev,destroy_min,destroy_max,destroy_p95,total_mean,total_median,total_stddev,total_min,total_max,total_p95
50,1,9.405049566600026,9.246045979499968,0.43973615827804924,8.993920417000027,10.887832500000059,10.33652379099999,6.406878748633373,6.343256291999978,0.3016291635310249,6.004729582999971,7.208075458000167,7.1243592089999765,15.811928315233398,15.582738562999793,0.6398405687228925,15.152409748999617,17.442946207999967,17.031347249999953
50,2,6.20428838346661,6.170100541499778,0.2282744314504896,5.8043172089996915,6.853463749999719,6.635290624999925,4.104111833366687,4.133141187499859,0.1685687697554717,3.7352540830002,4.400659542000085,4.3160468330002,10.308400216833297,10.32723152099993,0.27222591852887623,9.769869125999776,11.029456082999786,10.843063916999654
50,4,4.654952430599966,4.619105041500234,0.14865465013274717,4.434076791999814,5.085237708000022,5.009282666999752,2.2971499096666625,2.2991100834999543,0.10901779726123342,2.0535515000001396,2.734091708000051,2.4195544580002206,6.952102340266629,6.928262813000401,0.18523121487478655,6.5862130410000645,7.40055458300003,7.322583124000175
50,8,3.928452338866676,3.9090922495001905,0.1245562776807516,3.7556351670000367,4.335056541000085,4.202798625000014,2.1536492777333174,2.141993229000036,0.057445134645323595,2.0637921249999636,2.289949166000042,2.277501334000135,6.082101616599994,6.049755667000227,0.12772164891518667,5.847453542000039,6.471484623999913,6.328490040999895
50,16,4.186675014033304,4.155330083499848,0.4204099402995611,3.5979421669999283,5.339144292000128,4.9833237500001815,2.4088208485666502,2.3928110204999484,0.18926243652232438,2.179472457999964,3.0381164999998873,2.769026583000141,6.595495862599956,6.557537229499758,0.48475584009716705,5.800810333999834,7.969677875000343,7.392301249999946
100,1,20.952206544500132,20.827704771500066,1.098730826485874,19.165869500000554,24.156553249999888,22.680355791000693,14.968387699999917,15.187892228999772,0.7048121098139319,13.43201074999979,16.119507166999938,15.85088129199994,35.92059424450005,36.31529922899995,1.6445004050193028,32.71448825000061,39.4373762919995,37.908011417000125
100,2,13.906991199999963,13.896481812000275,0.898523499062807,12.291236624999328,16.322616958000253,15.442808875000082,8.424081511233393,8.39966114650042,0.30170418992048925,7.775268624999626,9.265214084000036,9.008179625000594,22.331072711233354,22.209447083500436,1.1359628996288944,20.238223874999676,25.58783104200029,24.088118833000408
100,4,10.233773074966697,9.289990104000026,5.056627068655444,8.95940070799952,36.99131895900064,9.819562832999509,4.5296797513333935,4.460381041499659,0.3004514854664019,4.278497000000243,5.915693458000533,5.044470542000454,14.76345282630009,13.743966250000085,5.3224261680885565,13.400481665998996,42.90701241700117,14.723387000000912
100,8,8.935681291533244,7.82079595849973,5.290144377843432,7.07243091700002,36.76240349999989,9.90746583300006,4.325643733366723,4.327166500000203,0.3316090295840941,3.6726796670000112,5.186514791999798,4.869331457999579,13.261325024899968,12.263426145500489,5.229043427743131,10.93778925100014,40.649247207999906,14.394978374999482
100,16,7.580947930500103,7.558603187500012,0.45477041587610806,6.980463125000824,8.967446708000352,8.687990874999741,4.5194227583,4.472164645499561,0.15260295057837706,4.363841625000532,4.946827875000054,4.929493542000273,12.100370688800103,12.005596437500117,0.5669918782152022,11.395028833000652,13.813279208000495,13.30787808400055
